Wavetable (C) Fujifilm Dimatix Inc. 2016,,,,,,,,,,,,,,,,
Format Revision,8,,,,,,,,,,,,,,,
Waveform Class,J_5,,,,,,,,,,,,,,,
Multibit Depth,2,,,,,,,,,,,,,,,
Section Count,4,,,,,,,,,,,,,,,
Maximum Frequency,19.9,,,,,,,,,,,,,,,
Waveform ID,3P_2bit_FFIC_TX130-K117;Editor Saved: 1/7/2016 3:15:15 PM,,,,,,,,,,,,,,,
Comment,Dimatix Waveform Editor=2.5.0;Configuration=Samba 3.0LV;DataCRC=1278559553,,,,,,,,,,,,,,,
Sample Clock Period [in ns],64,,,,,,,,,,,,,,,
Maximum Sample Voltage,32,,,,,,,,,,,,,,,
Control Points,1,0,6,25,,,,,,,,,,,,
Control Points,1,158,35,25,,,,,,,,,,,,
Control Points,1,0,36,25,,,,,,,,,,,,
Control Points,1,108,35,25,,,,,,,,,,,,
Control Points,1,0,36,25,,,,,,,,,,,,
Control Points,1,255,35,25,,,,,,,,,,,,
Control Points,1,0,36,25,,,,,,,,,,,,
Control Points,1,40,33,25,,,,,,,,,,,,
Control Points,1,75,35,25,,,,,,,,,,,,
Control Points,1,0,25,25,,,,,,,,,,,,
Section Marker,1,65,,,,,,,,,,,,,,
Section Marker,1,131,,,,,,,,,,,,,,
Section Marker,1,206,,,,,,,,,,,,,,
AllOnRanges,1,-106,106,,,,,,,,,,,,,
Start Section-to-Multibit Mapping Table,,,,,,,,,,,,,,,,
Section Number,Multibit value 0,Multibit value 1,Multibit value 2,Multibit value 3,Multibit value 4,Multibit value 5,Multibit value 6,Multibit value 7,Multibit value 8,Multibit value 9,Multibit value 10,Multibit value 11,Multibit value 12,Multibit value 13,Multibit value 14,Multibit value 15
1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
End Section-to-Multibit Mapping Table,,,,,,,,,,,,,,,,
Start Waveform Samples,,,,,,,,,,,,,,,,
Address,Voltage,All-On-Bit,Next-Section-Bit,End-Bit,Eject,Last-Section,,,,,,,,,,
0,0,0,1,0,0,0,,,,,,,,,,
1,0,0,0,0,0,0,,,,,,,,,,
2,0,0,0,0,0,0,,,,,,,,,,
3,0,0,0,0,0,0,,,,,,,,,,
4,0,0,0,0,0,0,,,,,,,,,,
5,0,0,0,0,0,0,,,,,,,,,,
6,25,0,0,0,0,0,,,,,,,,,,
7,50,0,0,0,0,0,,,,,,,,,,
8,75,0,0,0,0,0,,,,,,,,,,
9,100,0,0,0,0,0,,,,,,,,,,
10,125,0,0,0,0,0,,,,,,,,,,
11,150,0,0,0,0,0,,,,,,,,,,
12,158,0,0,0,0,0,,,,,,,,,,
13,158,0,0,0,0,0,,,,,,,,,,
14,158,0,0,0,0,0,,,,,,,,,,
15,158,0,0,0,0,0,,,,,,,,,,
16,158,0,0,0,0,0,,,,,,,,,,
17,158,0,0,0,0,0,,,,,,,,,,
18,158,0,0,0,0,0,,,,,,,,,,
19,158,0,0,0,0,0,,,,,,,,,,
20,158,0,0,0,0,0,,,,,,,,,,
21,158,0,0,0,0,0,,,,,,,,,,
22,158,0,0,0,0,0,,,,,,,,,,
23,158,0,0,0,0,0,,,,,,,,,,
24,158,0,0,0,0,0,,,,,,,,,,
25,158,0,0,0,0,0,,,,,,,,,,
26,158,0,0,0,0,0,,,,,,,,,,
27,158,0,0,0,0,0,,,,,,,,,,
28,158,0,0,0,0,0,,,,,,,,,,
29,158,0,0,0,0,0,,,,,,,,,,
30,158,0,0,0,0,0,,,,,,,,,,
31,158,0,0,0,0,0,,,,,,,,,,
32,158,0,0,0,0,0,,,,,,,,,,
33,158,0,0,0,0,0,,,,,,,,,,
34,158,0,0,0,0,0,,,,,,,,,,
35,158,0,0,0,0,0,,,,,,,,,,
36,158,0,0,0,0,0,,,,,,,,,,
37,158,0,0,0,0,0,,,,,,,,,,
38,158,0,0,0,0,0,,,,,,,,,,
39,158,0,0,0,0,0,,,,,,,,,,
40,158,0,0,0,0,0,,,,,,,,,,
41,133,0,0,0,0,0,,,,,,,,,,
42,108,0,0,0,0,0,,,,,,,,,,
43,83,0,0,0,0,0,,,,,,,,,,
44,58,0,0,0,0,0,,,,,,,,,,
45,33,0,0,0,0,0,,,,,,,,,,
46,8,0,0,0,0,0,,,,,,,,,,
47,0,0,0,0,0,0,,,,,,,,,,
48,0,0,0,0,0,0,,,,,,,,,,
49,0,0,0,0,0,0,,,,,,,,,,
50,0,0,0,0,0,0,,,,,,,,,,
51,0,0,0,0,0,0,,,,,,,,,,
52,0,0,0,0,0,0,,,,,,,,,,
53,0,0,0,0,0,0,,,,,,,,,,
54,0,0,0,0,0,0,,,,,,,,,,
55,0,0,0,0,0,0,,,,,,,,,,
56,0,0,0,0,0,0,,,,,,,,,,
57,0,0,0,0,0,0,,,,,,,,,,
58,0,0,0,0,0,0,,,,,,,,,,
59,0,0,0,0,0,0,,,,,,,,,,
60,0,0,0,0,0,0,,,,,,,,,,
61,0,0,0,0,0,0,,,,,,,,,,
62,0,0,0,0,0,0,,,,,,,,,,
63,0,0,0,0,0,0,,,,,,,,,,
64,0,0,0,0,0,0,,,,,,,,,,
65,0,0,1,0,0,0,,,,,,,,,,
66,0,0,0,0,0,0,,,,,,,,,,
67,0,0,0,0,0,0,,,,,,,,,,
68,0,0,0,0,0,0,,,,,,,,,,
69,0,0,0,0,0,0,,,,,,,,,,
